pha,diameter,albedo,diameter_sigma,epoch,epoch_mjd,epoch_cal,i,om,w,ma,ad,tp,tp_cal,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms
N,7.151,0.066,0.206,2459000.5,59000,20200531.0,5.311721023960094,141.3034733420156,313.2720999040062,357.6749757606817,3.218328518686094,2459010.989189464,20200610.4891895,3.4586e-08,1.1066e-08,9.7407e-08,4.1928e-06,4.1026e-05,4.2751e-05,1.1935e-05,1.3171e-08,1.3607e-09,5.3866e-05,9.9702e-06,0.53164
N,2.298,0.121,0.437,2459000.5,59000,20200531.0,4.96611517691233,271.0558178479297,152.807931180997,79.16273992869932,2.606016637090797,2458721.446167171,20190825.9461672,3.8272e-08,9.4441e-09,8.5259e-08,4.5642e-06,5.4185e-05,5.8288e-05,2.0272e-05,1.0729e-08,1.7519e-09,7.1288e-05,7.8369e-06,0.51132
N,3.026,0.077,0.519,2459000.5,59000,20200531.0,4.520011594058659,217.5968250661755,224.0368214623282,3.34885152045796,2.976964067612462,2458985.171057055,20200515.6710571,5.1125e-08,2.425e-08,1.4442e-07,8.1179e-06,7.6245e-05,8.9637e-05,4.5959e-05,2.644e-08,2.9105e-09,0.00021037,2.1953e-05,0.5711
Y,0.163,0.219,0.008,2459000.5,59000,20200531.0,13.65043547941818,38.53249306566922,279.8535745118904,289.2554253197044,1.137599628257081,2459072.4260371025,20200810.9260371,1.8171e-07,1.8663e-09,1.8117e-07,1.188e-05,1.3965e-05,2.5488e-05,3.098e-05,2.1202e-09,2.7497e-09,3.1423e-05,1.0232e-06,0.62095
N,3.1,0.046,0.206,2459000.5,59000,20200531.0,27.09015424123828,56.65234244838539,300.6536340601602,330.5384196341432,4.162350733399654,2459170.7136556264,20201117.2136556,8.9707e-07,1.0736e-06,2.162e-06,7.8496e-05,3.7822e-05,0.0005335,0.00065758,1.4014e-06,8.741e-08,0.0038848,0.0010504,0.57386
Y,1.602,0.075,0.012,2459000.5,59000,20200531.0,37.12099025844711,156.8525778078703,249.4339912761322,296.8335642132973,1.307805438019832,2459076.7616028544,20200815.2616029,2.5166e-08,7.6094e-10,2.7792e-08,8.6769e-06,2.4055e-06,1.2925e-05,1.4909e-05,8.8622e-10,8.4192e-10,1.8059e-05,4.4179e-07,0.41581
N,1.598,0.437,0.131,2459000.5,59000,20200531.0,2.142696054833036,352.8826730578295,26.09854596084075,227.0727671678657,2.863980812885489,2459498.3067790736,20211010.8067791,3.8248e-08,9.4589e-09,9.4224e-08,4.568e-06,9.9232e-05,9.9844e-05,1.3232e-05,1.1343e-08,1.5863e-09,5.1648e-05,8.009e-06,0.53615
N,2.421,0.208,0.163,2459000.5,59000,20200531.0,8.848249611551523,227.1855598707943,354.6997639278081,61.55805230167908,3.119871015655684,2458717.9429250555,20190822.4429251,4.7193e-08,1.9829e-08,1.3134e-07,5.3902e-06,3.4729e-05,3.9593e-05,1.875e-05,2.2616e-08,2.3689e-09,8.582e-05,1.7968e-05,0.59656
Y,1.316,0.018,0.605,2459000.5,59000,20200531.0,4.181102736715494,205.0870118253788,317.3675684113326,213.3681299720307,4.158204860702968,2459497.0559059195,20211009.5559059,8.4059e-08,1.997e-08,1.8966e-07,2.5072e-05,0.00012044,0.00011874,1.0199e-05,3.7181e-08,3.9607e-09,3.6952e-05,1.6351e-05,0.54787
N,3.106,0.349,0.053,2459000.5,59000,20200531.0,5.157368876170593,48.2031397343017,6.504748220155312,159.4761213165509,2.430015147693536,2458484.0219788207,20181231.5219788,4.1588e-08,5.7901e-09,9.1058e-08,4.4027e-06,3.2961e-05,3.5746e-05,1.3023e-05,6.4901e-09,1.237e-09,4.19e-05,4.6708e-06,0.50565
N,2.259,0.5,0.277,2459000.5,59000,20200531.0,6.166775980155238,191.9973852501962,330.6860769235212,188.7394729990804,2.744006073576859,2459680.385106941,20220410.8851069,6.0274e-08,1.4053e-08,1.5573e-07,4.8538e-06,4.8875e-05,5.3574e-05,2.1998e-05,1.553e-08,2.1384e-09,8.7972e-05,1.2133e-05,0.53245
Y,0.293,0.271,0.052,2459000.5,59000,20200531.0,18.10907165760435,70.3842046496547,306.7510377178367,133.7993160580851,1.172928561087799,2458894.182108293,20200214.6821083,1.8584e-07,3.3734e-09,1.5879e-07,2.6774e-05,5.3837e-05,4.8826e-05,5.5057e-05,4.657e-09,7.495e-09,4.3248e-05,1.7036e-06,0.62224
N,4.507,0.046,0.226,2459000.5,59000,20200531.0,2.660104211174187,234.7814661491093,67.93298975410576,178.8455692365319,2.787338492164981,2458346.8282957873,20180816.3282958,3.4596e-08,1.1522e-08,8.0937e-08,4.4134e-06,8.7273e-05,8.8273e-05,1.6215e-05,1.3667e-08,2.0123e-09,5.6601e-05,9.6773e-06,0.53928
N,3.455,0.031,0.828,2459000.5,59000,20200531.0,12.13084504920655,307.9592072670806,295.4124323166782,302.6863438900607,3.011956047663251,2459265.6769014113,20210220.1769014,5.13e-08,3.9155e-08,1.3646e-07,7.6724e-06,2.839e-05,4.9483e-05,4.049e-05,4.2886e-08,4.6161e-09,0.00018747,3.5574e-05,0.55018
N,4.781,0.041,1.999,2459000.5,59000,20200531.0,10.59357951703798,53.91922510086605,243.4220752777239,179.6369451248532,3.765356682712937,2457975.722080647,20170810.2220806,5.3472e-08,4.3225e-08,1.6566e-07,9.9874e-06,3.8032e-05,4.6468e-05,2.7186e-05,5.1474e-08,3.5945e-09,0.00015083,4.2112e-05,0.62746
N,1.529,0.301,0.187,2459000.5,59000,20200531.0,3.532154904953965,354.0036286935286,255.1189786584463,47.56434408252829,2.390934353613327,2458850.709514257,20200102.2095143,3.8788e-08,1.2651e-08,8.7197e-08,6.0036e-06,5.3957e-05,6.6169e-05,4.6118e-05,1.4215e-08,2.8319e-09,0.00014426,1.0111e-05,0.57299
Y,0.412,0.415,0.089,2459000.5,59000,20200531.0,12.41382476260377,84.29203362834551,193.3531685514446,103.7180276526932,2.75133988671179,2458725.499187091,20190829.9991871,6.8803e-08,1.8583e-08,1.2741e-07,7.6394e-06,5.189e-05,5.1617e-05,1.5982e-05,2.6949e-08,5.5413e-09,3.9384e-05,1.4024e-05,0.54114
N,5.145,0.221,0.272,2459000.5,59000,20200531.0,2.378868029857536,288.464032953663,145.1128065103744,308.1887211032156,2.899012121694358,2459212.3711950495,20201228.871195,4.6312e-08,1.0876e-08,1.1935e-07,4.7449e-06,9.2277e-05,9.306e-05,1.3244e-05,1.2449e-08,1.5752e-09,5.465e-05,9.4829e-06,0.48155
Y,0.124,0.29,0.005,2459000.5,59000,20200531.0,19.19365128011496,224.0877517160475,310.2211205726823,196.3243736749547,1.084788006337462,2459146.65164314,20201024.1516431,2.758e-07,1.0153e-08,2.4537e-07,4.5534e-05,1.3707e-05,3.2994e-05,2.229e-05,1.1993e-08,1.8571e-08,2.0994e-05,5.3307e-06,0.54694
N,5.401,0.035,0.725,2459000.5,59000,20200531.0,12.72659214207845,19.75147411337893,34.87984729182556,280.263820061513,3.372027051974649,2459348.1170159704,20210513.617016,5.5079e-08,1.3187e-08,1.4796e-07,7.6841e-06,2.0195e-05,2.6169e-05,1.3619e-05,1.6825e-08,1.7167e-09,6.053e-05,1.1746e-05,0.54682
N,2.511,0.102,0.683,2459000.5,59000,20200531.0,11.40138507825812,57.40563067527612,287.8879653322718,130.2353603438582,2.971473866422424,2458450.748814716,20181128.2488147,1.6033e-07,1.4228e-07,3.833e-07,8.0125e-06,7.3513e-05,7.9706e-05,6.0956e-05,1.6344e-07,1.9546e-08,0.00021647,0.00012538,0.38645
N,3.735,0.026,0.813,2459000.5,59000,20200531.0,6.698549165867487,138.9564045656979,268.9095773809706,281.9178832667982,3.808108251197598,2459495.983994437,20211008.4839944,8.5496e-08,9.0477e-08,2.8018e-07,1.4951e-05,8.4124e-05,0.0001099,6.4238e-05,1.015e-07,6.3004e-09,0.00040626,9.1332e-05,0.58956
Y,2.188,0.023,0.453,2459000.5,59000,20200531.0,10.02324196957869,340.0776212576162,337.2744677889181,317.1178943621296,5.447694205905869,2459250.1958554303,20210204.6958554,3.7262e-08,3.6299e-07,4.0586e-08,5.1312e-06,1.0144e-05,1.2012e-05,0.00011675,6.1689e-07,2.9171e-08,0.00072225,0.00035606,0.33448
Y,0.939,0.042,0.007,2459000.5,59000,20200531.0,13.58886606682922,64.6541691151494,50.11949882420836,309.6965996730072,1.864619534233829,2459085.307275781,20200823.8072758,1.0437e-08,4.0657e-10,1.4675e-08,7.0786e-06,5.4612e-06,7.2128e-06,1.7956e-06,5.4038e-10,2.5785e-10,3.0425e-06,2.6384e-07,0.43626
N,2.146,0.221,0.317,2459000.5,59000,20200531.0,7.024029978284327,284.2746430188583,63.16987089319723,125.0378872521009,2.900084416108289,2458453.2498506824,20181130.7498507,5.4376e-08,1.6353e-08,1.4689e-07,5.5639e-06,4.0152e-05,4.8272e-05,2.6691e-05,1.7897e-08,2.1151e-09,0.00011544,1.4585e-05,0.60305
Y,1.06,0.074,0.02,2459000.5,59000,20200531.0,2.290845463092195,313.3802334604498,71.09254067829767,145.298312604843,2.88836717585656,2458718.2535423753,20190822.7535424,4.1221e-08,1.9812e-08,6.3754e-08,5.5999e-06,0.00020175,0.00020118,4.2737e-05,3.7113e-08,9.922e-09,7.7717e-05,1.3478e-05,0.53929
N,4.11,0.182,0.681,2459000.5,59000,20200531.0,5.780509395114827,159.3972822221006,343.8928263857881,261.4713691421265,2.498245512837588,2459343.9257397824,20210509.4257398,3.4051e-08,7.3607e-09,7.6769e-08,3.8719e-06,3.3485e-05,3.8417e-05,2.0202e-05,8.0768e-09,1.3913e-09,7.1121e-05,6.0851e-06,0.50579
Y,1.115,0.429,0.045,2459000.5,59000,20200531.0,10.61340110086208,284.153670361235,61.49499341787841,101.4332900548779,2.81386374279524,2458738.0245611216,20190911.5245611,2.1709e-08,6.8603e-09,4.0499e-08,4.4961e-06,1.8238e-05,1.9262e-05,2.9955e-06,1.0341e-08,2.1304e-09,7.7141e-06,5.1354e-06,0.38065
N,3.957,0.103,0.293,2459000.5,59000,20200531.0,8.92726907951973,260.7893445950701,234.7685179248823,133.3594787003242,3.234379689441301,2458255.3386468906,20180516.8386469,5.212e-08,3.9317e-08,1.5215e-07,5.8526e-06,3.7914e-05,9.4001e-05,8.6734e-05,4.0777e-08,3.3845e-09,0.00048478,3.804e-05,0.57131
N,3.023,0.058,0.73,2459000.5,59000,20200531.0,8.363213732528443,227.3939072200854,219.2505934699415,267.6427505390262,3.562597103029598,2459537.181904219,20211118.6819042,9.9243e-08,8.8814e-08,2.901e-07,9.8101e-06,4.6877e-05,6.81e-05,4.1707e-05,9.8843e-08,7.1618e-09,0.00024676,8.706e-05,0.55088
N,10.215,0.186,0.148,2459000.5,59000,20200531.0,13.70442133578394,27.68116794997604,241.1101033482259,0.1465935917908239,3.379547739345905,2458999.7371506514,20200530.2371507,3.8409e-08,1.6436e-08,1.1944e-07,4.9742e-06,1.657e-05,2.6079e-05,2.3235e-05,1.8676e-08,1.593e-09,0.00012091,1.5529e-05,0.47514
Y,0.143,0.138,0.008,2459000.5,59000,20200531.0,12.5937477962068,306.5383736889956,195.6183203607214,295.0302116826658,1.143105935196878,2459037.6345900916,20200707.1345901,1.537e-07,2.3784e-09,1.0475e-07,2.2032e-05,8.8891e-06,2.1613e-05,5.6174e-05,3.9859e-09,9.1509e-09,3.201e-05,1.0762e-06,0.47906
N,3.588,0.087,0.133,2459000.5,59000,20200531.0,8.736786477970005,279.6394193032197,261.048145405743,335.9696737901123,3.502797304837876,2459127.4136035605,20201004.9136036,3.1147e-07,7.6364e-08,9.7465e-07,1.6229e-05,6.9755e-05,8.7655e-05,4.798e-05,8.9058e-08,7.221e-09,0.00025528,7.251e-05,0.53968
N,3.41,0.348,1.037,2459000.5,59000,20200531.0,15.87291443263059,228.5703907307726,53.20742274015637,296.1238529362304,3.674551234314506,2459352.6706160754,20210518.1706161,3.9117e-08,2.4452e-08,1.2729e-07,5.5859e-06,1.6057e-05,2.1926e-05,1.6339e-05,2.9069e-08,2.1523e-09,9.2065e-05,2.3553e-05,0.51569
N,1.548,0.353,0.307,2459000.5,59000,20200531.0,1.662013268538469,213.8315950820458,10.89891661843298,210.1930593956481,2.795613826428144,2459583.532550905,20220104.0325509,5.7134e-08,1.3808e-08,1.3555e-07,5.3393e-06,0.00011528,0.00011608,1.3365e-05,1.5753e-08,2.1717e-09,5.3874e-05,1.1842e-05,0.54585
Y,1.06,0.143,0.346,2459000.5,59000,20200531.0,8.744567745376262,34.24387741535948,99.4350141429188,299.5497427333443,2.879296165127181,2459136.9254520903,20201014.4254521,3.2464e-08,8.1086e-09,5.5694e-08,6.5618e-06,1.3088e-05,1.4063e-05,1.0356e-05,1.3701e-08,3.1628e-09,2.2947e-05,5.7992e-06,0.43036
N,2.982,0.218,0.653,2459000.5,59000,20200531.0,7.897143747542392,253.9582777304284,119.5294362259639,312.8547588157429,3.313190165983631,2459246.924162759,20210201.4241628,6.8086e-08,3.2357e-08,2.1189e-07,5.7782e-06,5.2484e-05,5.873e-05,3.0093e-05,3.5941e-08,3.1131e-09,0.00015955,3.0618e-05,0.56291
N,5.088,0.03,0.444,2459000.5,59000,20200531.0,1.870660627143514,318.9913336987518,7.915028813989366,105.0071036544615,4.809534679238562,2458165.149807678,20180215.6498077,1.0352e-07,1.0779e-07,4.0981e-07,9.2397e-06,0.00052007,0.0005211,3.3474e-05,1.3135e-07,5.1497e-09,0.00025677,0.00011732,0.49165
N,4.54,0.045,0.283,2459000.5,59000,20200531.0,3.841224377551347,206.1659949667466,135.1545115648718,195.4596110100937,3.019841259058872,2459779.299773768,20220718.7997738,4.8634e-08,2.4186e-08,1.3606e-07,5.2983e-06,7.7277e-05,8.2781e-05,3.0417e-05,2.6161e-08,2.7454e-09,0.00014593,2.2142e-05,0.55975
Y,0.53,0.151,0.03,2452464.5,52464,20020709.0,2.276480760253867,211.0620214995175,66.65547373733823,274.4136345211533,4.017212800685214,2452808.2596191,20030617.7596191,2.478e-09,4.5222e-10,6.0535e-09,6.4443e-07,2.1622e-05,2.2559e-05,2.1038e-07,7.2595e-10,6.7488e-11,9.3587e-07,3.9195e-07,0.61351
N,3.847,0.207,0.413,2459000.5,59000,20200531.0,2.619818997836178,135.6918982719833,264.3655666975461,327.5249440664708,3.03133733887287,2459135.8547330806,20201013.3547331,6.8003e-08,1.4335e-08,1.7227e-07,5.3233e-06,0.00012795,0.0001288,1.5877e-05,1.6942e-08,2.0114e-09,6.646e-05,1.2579e-05,0.56209
N,5.176,0.104,0.958,2459000.5,59000,20200531.0,5.723310645070462,156.785019578526,136.5138813450095,149.3814580921949,3.651008911806857,2458127.1722023725,20180108.6722024,3.9669e-08,2.4617e-08,1.2477e-07,4.6078e-06,5.7593e-05,6.167e-05,2.3677e-05,2.7963e-08,1.9651e-09,0.00013558,2.418e-05,0.565
N,7.964,0.071,0.055,2459000.5,59000,20200531.0,5.556340369953909,45.92555665466264,288.3459229025511,190.8143120221863,2.74891438459988,2459658.815694963,20220320.315695,4.0766e-08,8.9386e-09,9.8408e-08,3.1847e-06,3.8007e-05,3.9948e-05,1.3543e-05,1.0029e-08,1.4064e-09,5.3949e-05,7.6657e-06,0.48716
N,2.405,0.037,0.054,2459000.5,59000,20200531.0,4.336400994813971,259.6526390437991,195.8293555191575,292.8670937645402,2.861289720802794,2459252.8707816014,20210207.3707816,5.1011e-08,2.5249e-08,1.2315e-07,5.7528e-06,0.00011988,0.00012208,2.7783e-05,3.0171e-08,4.2075e-09,0.00010653,2.1406e-05,0.62373
N,4.976,0.045,0.319,2459000.5,59000,20200531.0,9.226660777119813,336.9223922276037,249.096939175046,252.5164137580454,3.276124888111788,2459607.627536,20220128.127536,6.4637e-08,4.8942e-08,2.0802e-07,8.251e-06,3.5988e-05,9.8129e-05,9.0571e-05,5.1045e-08,4.1376e-09,0.00051112,4.7525e-05,0.48753
N,23.056,0.058,0.114,2459000.5,59000,20200531.0,9.803165963960277,153.993998946488,262.9905584260709,192.7505180943519,3.417766075762808,2459957.271283885,20230112.7712839,3.9168e-08,1.6966e-08,1.241e-07,4.2594e-06,2.4078e-05,3.6132e-05,2.807e-05,1.8305e-08,1.4043e-09,0.00016391,1.6545e-05,0.46751
N,6.277,0.031,0.865,2459000.5,59000,20200531.0,0.780745343092644,81.6942263137748,80.84023144752634,31.02192886097638,3.515944800935422,2458816.8447321365,20191129.3447321,5.7067e-08,2.3535e-08,1.7808e-07,4.3066e-06,0.00046185,0.00046264,2.6773e-05,2.553e-08,1.8398e-09,0.0001582,2.3214e-05,0.55001
N,1.375,0.195,0.271,2459000.5,59000,20200531.0,3.789818133117735,234.5679619664463,135.91095203,254.2441819024219,2.809996453282841,2459387.0881582377,20210621.5881582,4.9373e-08,1.0661e-08,1.1731e-07,4.7444e-06,8.1794e-05,8.2467e-05,1.1625e-05,1.2747e-08,1.8614e-09,4.3642e-05,8.9542e-06,0.50069
N,6.179,0.061,0.061,2459000.5,59000,20200531.0,1.961113841458158,113.8361114171669,127.194146542495,291.408540556997,3.454589509298099,2459379.4401181103,20210613.9401181,4.6553e-08,2.6154e-08,1.5309e-07,4.7915e-06,0.00016483,0.00016726,3.1556e-05,2.9192e-08,2.2943e-09,0.00017658,2.5209e-05,0.55854
N,4.166,0.064,1.025,2459000.5,59000,20200531.0,6.706817043584316,315.0316895231554,54.32734516570441,290.8621570870833,2.908130701060801,2459258.8786462327,20210213.3786462,6.8763e-08,1.3159e-08,1.671e-07,5.7042e-06,4.6203e-05,4.7066e-05,1.3321e-05,1.6045e-08,2.2146e-09,5.1396e-05,1.1135e-05,0.56791
N,6.514,0.079,0.19,2459000.5,59000,20200531.0,9.95739115793248,89.98911760673161,249.0966019164545,172.8035008107831,3.48480356218345,2457985.616072601,20170820.1160726,4.922e-08,2.9911e-08,1.5577e-07,4.8858e-06,2.7538e-05,4.1551e-05,3.3568e-05,3.2332e-08,2.3696e-09,0.00019301,2.9425e-05,0.5757
N,6.139,0.051,0.092,2459000.5,59000,20200531.0,3.628085537833553,278.6729242915713,271.6590920104157,17.79819215085893,2.838460849796122,2458930.8554084254,20200322.3554084,4.2298e-08,1.1084e-08,1.0135e-07,3.1891e-06,6.7941e-05,6.8888e-05,1.0258e-05,1.2793e-08,1.7277e-09,4.0201e-05,9.5233e-06,0.51008
N,7.774,0.153,0.141,2459000.5,59000,20200531.0,9.82717474286124,246.8826593019955,114.7753104507208,206.6448320151021,3.395538348777153,2459804.795824419,20220813.2958244,4.9634e-08,1.7294e-08,1.4515e-07,4.4384e-06,2.3618e-05,2.812e-05,1.7884e-05,1.9642e-08,1.6545e-09,9.7539e-05,1.6383e-05,0.45308
N,4.411,0.027,0.029,2459000.5,59000,20200531.0,12.4684085472967,125.50949343648,206.3557900374606,131.9549194096205,2.992142317380659,2458424.909216533,20181102.4092165,5.6288e-08,2.0417e-08,1.549e-07,5.6591e-06,2.4815e-05,3.1035e-05,1.773e-05,2.3105e-08,2.6554e-09,7.694e-05,1.8189e-05,0.58993
N,2.005,0.482,0.435,2459000.5,59000,20200531.0,5.871247674434979,278.3668286159666,42.88072418598077,194.2025000221523,2.647204940359632,2459604.950701483,20220125.4507015,4.3688e-08,9.0562e-09,1.0184e-07,3.9249e-06,3.9755e-05,4.1827e-05,1.4199e-05,1.0219e-08,1.5883e-09,5.2819e-05,7.5998e-06,0.50499
N,2.792,0.03,0.676,2455365.5,55365,20100618.0,27.72504725480344,191.0882613274088,123.6770677256293,13.58397303116332,3.017359326608231,2455298.8309503794,20100412.3309504,40.152,135.62,13.366,263.5,771.01,10579.0,7931.4,143.07,14.492,43653.0,125670.0,0.38974
N,4.49,0.22,0.591,2459000.5,59000,20200531.0,23.52846962718395,228.5822512187565,279.7944276368858,167.2086644681527,3.265686026306367,2458254.575894506,20180516.0758945,4.5986e-08,1.6289e-08,1.2451e-07,6.7272e-06,1.3164e-05,1.9866e-05,1.723e-05,1.982e-08,2.0407e-09,7.4331e-05,1.462e-05,0.50167
N,2.266,0.072,0.513,2459000.5,59000,20200531.0,12.74016818097269,327.7152652318496,339.3131247722498,40.67452564714452,3.397426404565771,2458819.430145372,20191201.9301454,2.2011e-07,1.3925e-07,6.8606e-07,1.0352e-05,2.4607e-05,4.59e-05,1.8725e-05,1.7652e-07,1.7507e-08,7.6354e-05,0.0001249,0.58762
Y,1.196,0.072,0.362,2459000.5,59000,20200531.0,1.991210270296086,299.6799909643187,24.05137270587787,15.70799806308658,1.42233896126834,2458983.2591083487,20200513.7591083,1.1089e-08,6.4558e-10,1.1791e-08,2.5947e-06,8.3702e-05,8.2972e-05,3.5457e-06,8.7135e-10,8.3723e-10,3.8774e-06,3.631e-07,0.32084
N,4.261,0.425,0.248,2459000.5,59000,20200531.0,4.69541265645007,336.4189441522304,22.74013878984986,345.7747602052258,2.594704132317132,2459050.4949941193,20200719.9949941,3.5995e-08,7.3121e-09,8.3335e-08,3.7122e-06,4.423e-05,4.6307e-05,1.6049e-05,8.2874e-09,1.3632e-09,5.6537e-05,6.0616e-06,0.42004
Y,0.802,0.301,0.271,2459000.5,59000,20200531.0,10.06100724183508,164.9035142576932,150.2655913712404,13.23163286994324,3.005391055578666,2458962.65115543,20200423.1511554,2.7312e-08,2.809e-09,5.3636e-08,4.354e-06,3.041e-05,3.0556e-05,6.4048e-06,4.2302e-09,7.381e-10,1.8246e-05,2.1742e-06,0.51146
Y,0.414,0.216,0.077,2459000.5,59000,20200531.0,2.020520142985308,314.447068649128,134.9376025362236,150.4279248021579,1.783811648404138,2458802.073150257,20191114.5731503,2.557e-08,1.4755e-09,3.0835e-08,3.6566e-06,7.7139e-05,7.8593e-05,1.1374e-05,2.2096e-09,1.4086e-09,1.51e-05,8.8231e-07,0.53819
N,2.689,0.051,0.389,2459000.5,59000,20200531.0,10.22796886913277,219.0270102509477,172.5589307522134,263.3924601121652,3.80065678273582,2459541.403918226,20211122.9039182,6.9677e-05,0.00022995,4.9704e-05,0.00065466,0.00088636,0.046719,0.096655,0.00027986,1.9727e-05,0.60065,0.22263,0.42631
N,5.983,0.071,0.162,2459000.5,59000,20200531.0,16.43106373891379,27.53736393721178,358.1912406149836,60.76461149706186,3.348619085486636,2458658.420832707,20190623.9208327,6.2662e-08,3.1204e-08,2.0032e-07,5.448e-06,1.599e-05,3.9096e-05,3.4328e-05,3.334e-08,2.6528e-09,0.00019444,3.0267e-05,0.50831
N,102.565,0.027,0.644,2459000.5,59000,20200531.0,8.222433797872206,99.14903291551268,333.748259680969,286.7483061300538,3.073631174187944,2459343.706847924,20210509.2068479,4.4325e-08,1.0568e-08,1.2135e-07,4.5385e-06,2.6518e-05,3.1914e-05,1.9584e-05,1.1714e-08,1.2201e-09,9.2835e-05,9.6423e-06,0.4461
N,1.604,0.099,0.212,2455349.5,55349,20100602.0,11.7350071777571,41.62004980221891,46.00321681210276,93.41250380822206,2.414854007551991,2455043.629720994,20090731.129721,1.0506,6.7555,8.1789,7.0474,32.513,1286.2,1218.1,7.4701,1.4171,2569.5,5469.7,0.43662
N,5.146,0.265,0.219,2459000.5,59000,20200531.0,14.53422940616054,264.0564032038063,199.771293100029,225.3509923046193,2.753650166191381,2459556.325835763,20211207.8258358,4.5793e-08,1.4554e-08,1.1337e-07,4.8232e-06,1.9026e-05,3.5392e-05,3.0966e-05,1.5725e-08,2.0751e-09,0.00012916,1.2729e-05,0.44725
N,5.278,0.03,0.344,2459000.5,59000,20200531.0,3.449883977670626,228.4875005909025,51.69572387290732,287.4787893957281,2.844963851266417,2459339.244313772,20210504.7443138,3.9539e-08,2.018e-08,1.1728e-07,5.8653e-06,0.00010919,0.00018525,0.00015013,2.0746e-08,2.3417e-09,0.00070095,1.8393e-05,0.55246
