Date (DD/MM/YYYY),Pressure_Sensor_1,Pressure_Sensor_2,Motor_Revolutions_Per_Minute,Motor_Temperature,Motor_Power,Motor_Efficiency,Motor Trip Failure
14/03/2019 4:35,32.59615385,29.40766551,106,53.9,4.12,80.13,0
14/03/2019 4:36,33.18786982,30.37630662,104,55.78,4.06,81.58,0
14/03/2019 4:37,32.10059172,31.21254355,97,55.88,4.22,78.91,0
14/03/2019 4:38,32.15976331,30.31358885,103,52.35,4.48,79.05,0
14/03/2019 4:39,33.05473373,29.85365854,105,54.95,4.2,81.25,0
14/03/2019 4:40,32.4260355,31.31707317,110,52.46,4.25,79.71,0
14/03/2019 4:41,31.59023669,29.30313589,111,54.43,4.25,77.65,0
14/03/2019 4:42,32.26331361,30.9825784,103,53.82,4.1,79.31,0
14/03/2019 4:43,31.48668639,29.33797909,107,54.2,4.39,77.4,0
14/03/2019 4:44,31.21301775,30.11149826,109,52.42,4.31,76.73,0
14/03/2019 4:45,31.98964497,29.4912892,99,54.56,4.25,78.64,0
14/03/2019 4:46,31.1316568,28.26480836,98,52.24,4.3,76.53,0
14/03/2019 4:47,32.33727811,27.99303136,99,50.86,3.37,73.04,0
14/03/2019 4:48,30.48816568,28.96864111,95,49.74,3.37,75.58,0
14/03/2019 4:49,31.05769231,28.57839721,87,55.59,3.27,74.56,0
14/03/2019 4:50,32.11538462,28.98954704,97,50.1,3.69,75.64,0
14/03/2019 4:51,30.24408284,28.38327526,92,54.87,3.27,74.05,0
14/03/2019 4:52,31.61982249,29.85365854,101,53.89,3.44,77.89,0
14/03/2019 4:53,29.59319527,28.57142857,92,54.83,3.44,74.55,0
14/03/2019 4:54,30.84319527,27.93031359,90,55.89,3.35,72.87,0
14/03/2019 4:55,32.37426036,29.03832753,100,47.88,3.92,75.76,0
14/03/2019 4:56,30.73964497,27.96515679,93,55.18,3.73,72.96,0
14/03/2019 4:57,32.35207101,28.19512195,94,51.41,3.37,73.56,0
14/03/2019 4:58,31.50147929,28.19512195,88,46.84,3.29,73.56,0
14/03/2019 4:59,30.91715976,27.96515679,92,46.85,3.52,72.96,0
14/03/2019 5:00,31.39792899,28.34843206,89,45.41,3.24,73.96,0
14/03/2019 5:01,32.5443787,29.83275261,99,47.53,3.8,77.84,0
14/03/2019 5:02,29.68934911,28.81533101,95,53.63,3.12,75.18,0
14/03/2019 5:03,32.06360947,29.02439024,86,51.35,3.43,75.73,0
14/03/2019 5:04,30.58431953,30.45993031,90,54.58,3.46,79.47,0
14/03/2019 5:05,31.53106509,30.66202091,97,53.23,3.53,80,0
14/03/2019 5:06,31.73076923,29.95121951,91,53.66,3.5,78.15,0
14/03/2019 5:07,31.58284024,28.14634146,90,47.72,3.64,73.44,0
14/03/2019 5:08,31.78994083,29.08710801,103,54.17,3.47,75.89,0
14/03/2019 5:09,30.99852071,27.91637631,94,52.71,3.53,72.84,0
14/03/2019 5:10,29.94822485,29.2195122,99,50.91,3.78,76.24,0
14/03/2019 5:11,30.29585799,28.34843206,97,48.66,3.05,73.96,0
14/03/2019 5:12,30.99852071,30.20905923,100,51.7,3.26,78.82,0
14/03/2019 5:13,31.70857988,28.01393728,97,55.25,3.75,73.09,0
14/03/2019 5:14,29.9704142,28.02787456,95,53.78,3.61,73.13,0
14/03/2019 5:15,30.99852071,29.0174216,107,50.61,3.99,75.71,0
14/03/2019 5:16,32.3964497,28.9825784,88,48.22,2.92,75.62,0
14/03/2019 5:17,30.06656805,28.17421603,107,55.56,4.01,73.51,0
14/03/2019 5:18,32.13017751,29.16376307,104,46.51,3.51,76.09,0
14/03/2019 5:19,30.73964497,28.36236934,90,52.31,3.5,74,0
14/03/2019 5:20,31.93047337,29.2543554,91,47.75,3.44,76.33,0
14/03/2019 5:21,31.15384615,30.32752613,92,52.65,3.13,79.13,0
14/03/2019 5:22,30.06656805,30.29268293,105,52.74,3.56,79.04,0
14/03/2019 5:23,30.19230769,28.3902439,101,52.48,3.54,74.07,0
14/03/2019 5:24,32.09319527,28.6271777,101,46.23,3.83,74.69,0
14/03/2019 5:25,29.60798817,30.34843206,94,54.61,3.08,79.18,0
14/03/2019 5:26,29.88905325,28.91986063,97,53.1,3.15,75.45,0
14/03/2019 5:27,32.3816568,28.01393728,100,54.89,3.26,73.09,0
14/03/2019 5:28,29.81508876,30.36933798,97,52.58,3.31,79.24,0
14/03/2019 5:29,30.92455621,30.57142857,102,50.56,3.98,79.76,0
14/03/2019 5:30,31.98224852,28.20209059,105,55.94,3.94,73.58,0
14/03/2019 5:31,31.07988166,28.33449477,94,47.83,2.95,73.93,0
14/03/2019 5:32,29.77071006,28.26480836,85,51.48,3.02,73.75,0
14/03/2019 5:33,30.13313609,30.52264808,99,55.22,3.17,79.64,0
14/03/2019 5:34,31.22781065,29.12891986,101,55.22,3.49,76,0
14/03/2019 5:35,31.1760355,30.45993031,97,55.15,3.05,79.47,0
14/03/2019 5:36,30.82100592,30.18118467,86,46.63,3.08,78.75,0
14/03/2019 5:37,31.05029586,27.91637631,95,50.47,3.31,72.84,0
14/03/2019 5:38,30.30325444,30.1184669,101,54.73,3.88,78.58,0
14/03/2019 5:39,31.77514793,29.86062718,101,54.44,3.41,77.91,0
14/03/2019 5:40,32.12278107,29.26132404,98,45.53,3.47,76.35,0
14/03/2019 5:41,31.50887574,28.53658537,101,48.48,3.41,74.45,0
14/03/2019 5:42,29.9112426,28.91289199,93,55.99,3.18,75.44,0
14/03/2019 5:43,32.15976331,28.45296167,91,47.83,2.89,74.24,0
14/03/2019 5:44,30.48816568,30.52264808,102,46.35,3.24,79.64,0
14/03/2019 5:45,31.95266272,28.37630662,107,55.39,4.11,74.04,0
14/03/2019 5:46,32.03402367,27.90940767,99,51.84,3.31,72.82,0
14/03/2019 5:47,31.66420118,28.81533101,103,45.87,3.67,75.18,0
14/03/2019 5:48,29.8964497,27.97212544,98,52.46,3.4,72.98,0
14/03/2019 5:49,30.71745562,29.2195122,88,45.13,3.46,76.24,0
14/03/2019 5:50,31.47189349,30.34146341,96,51.27,3.51,79.16,0
14/03/2019 5:51,32.20414201,29.8466899,81,52.17,2.89,77.87,0
14/03/2019 5:52,32.41863905,29.79790941,85,53.84,3.41,77.75,0
14/03/2019 5:53,29.93343195,29.93728223,105,46.74,3.92,78.11,0
14/03/2019 5:54,31.56804734,28.91289199,89,48.15,3.61,75.44,0
14/03/2019 5:55,32.4408284,28.11149826,86,47.31,3.05,73.35,0
14/03/2019 5:56,31.05769231,29.24041812,93,45.94,3.5,76.29,0
14/03/2019 5:57,30.71745562,29.65853659,89,47.41,3.31,77.38,0
14/03/2019 5:58,30.36982249,29.83275261,92,45.68,3.53,77.84,0
14/03/2019 5:59,31.43491124,30.45993031,106,45.32,3.98,79.47,0
14/03/2019 6:00,32.09319527,28.39721254,107,49.71,3.64,74.09,0
14/03/2019 6:01,29.74112426,29.17770035,85,47.49,3.28,76.13,0
14/03/2019 6:02,30.90976331,27.95818815,92,51.25,3.23,72.95,0
14/03/2019 6:03,30.23668639,28.57142857,89,50.98,2.92,74.55,0
14/03/2019 6:04,29.78550296,29.95818815,95,54.15,3.26,78.16,0
14/03/2019 6:05,29.77810651,29.40069686,110,49.37,3.52,76.71,0
14/03/2019 6:06,31.96745562,28.75958188,105,45.28,3.86,75.04,0
14/03/2019 6:07,31.06508876,30.61324042,105,55.54,3.45,79.87,0
14/03/2019 6:08,31.93786982,28.75958188,86,54.28,3.27,75.04,0
14/03/2019 6:09,32.10798817,30.52264808,108,47.97,3.92,79.64,0
14/03/2019 6:10,30.0739645,29.50522648,97,54.36,3.72,76.98,0
14/03/2019 6:11,32.52218935,29.98606272,108,52.54,3.75,78.24,0
14/03/2019 6:12,29.78550296,30.3902439,101,47.55,3.8,79.29,0
14/03/2019 6:13,32.23372781,29.90243902,95,52.93,3.1,78.02,0
14/03/2019 6:14,32.18195266,29.51219512,101,46.47,3.56,77,0
14/03/2019 6:15,30.46597633,28.58536585,96,52.22,3.14,74.58,0
14/03/2019 6:16,29.79289941,29.97212544,93,50.9,3.32,78.2,0
14/03/2019 6:17,32.53698225,29.17770035,87,50.74,2.74,76.13,0
14/03/2019 6:18,32.17455621,29.67247387,91,47.11,2.98,77.42,0
14/03/2019 6:19,31.1612426,28.64808362,96,50.12,3.09,74.75,0
14/03/2019 6:20,32.15236686,29.83275261,108,45.5,4.03,77.84,0
14/03/2019 6:21,31.3683432,28.90592334,104,47.67,3.73,75.42,0
14/03/2019 6:22,31.96005917,29.3728223,101,51.88,3.43,76.64,0
14/03/2019 6:23,30.75443787,30.16724739,97,48.39,3.6,78.71,0
14/03/2019 6:24,30.0295858,29.50522648,94,50.61,2.96,76.98,0
14/03/2019 6:25,30.90976331,28.76655052,84,48.84,3.38,75.05,0
14/03/2019 6:26,31.1612426,29.67247387,96,46.74,3.68,77.42,0
14/03/2019 6:27,32.3816568,28.271777,83,53.96,3,73.76,0
14/03/2019 6:28,30.50295858,28.45296167,91,55.81,2.9,74.24,0
14/03/2019 6:29,30.45857988,28.13240418,97,53.34,3.74,73.4,0
14/03/2019 6:30,31.96005917,29.49825784,96,51.85,3.3,76.96,0
14/03/2019 6:31,31.91568047,27.93728223,85,52.12,3.32,72.89,0
14/03/2019 6:32,32.06360947,28.04181185,86,53.1,2.8,73.16,0
14/03/2019 6:33,29.87426036,28.48083624,91,46.93,3.21,74.31,0
14/03/2019 6:34,30.68047337,30.20209059,91,45.48,2.86,78.8,0
14/03/2019 6:35,29.65236686,27.98606272,97,48.78,3.34,73.02,0
14/03/2019 6:36,31.53846154,30.271777,107,48.63,3.47,78.98,0
14/03/2019 6:37,30.60650888,28.97560976,105,50.97,3.89,75.6,0
14/03/2019 6:38,30.19970414,29.63066202,101,45.2,3.72,77.31,0
14/03/2019 6:39,31.61242604,29.18466899,103,50.38,4.19,76.15,0
14/03/2019 6:40,30.69526627,28.96167247,98,45.98,3.37,75.56,0
14/03/2019 6:41,32.11538462,28.6271777,93,46.1,3.27,74.69,0
14/03/2019 6:42,31.53846154,29.82578397,97,50.13,3.64,77.82,0
14/03/2019 6:43,31.25,28.55052265,94,53.96,3.15,74.49,0
14/03/2019 6:44,32.30029586,28.48083624,103,45.72,4.15,74.31,0
14/03/2019 6:45,31.50147929,29.17073171,86,45.93,3.26,76.11,0
14/03/2019 6:46,30.32544379,27.99303136,86,50.91,2.99,73.04,0
14/03/2019 6:47,30.56952663,29.83972125,88,51.1,3.29,77.85,0
14/03/2019 6:48,30.34023669,28.18118467,92,54.44,3.23,73.53,0
14/03/2019 6:49,31.76035503,30.20905923,100,48.6,3.45,78.82,0
14/03/2019 6:50,30.91715976,28.94773519,92,55.65,3.58,75.53,0
14/03/2019 6:51,29.93343195,29.42857143,102,45.46,3.77,76.78,0
14/03/2019 6:52,30.53254438,28.85017422,88,46.24,3.39,75.27,0
14/03/2019 6:53,30.0887574,29.71428571,96,55.73,3.08,77.53,0
14/03/2019 6:54,31.2647929,30.24390244,107,46.92,4.15,78.91,0
14/03/2019 6:55,31.49408284,30.09059233,90,47.4,3.55,78.51,0
14/03/2019 6:56,30.65088757,28.68989547,81,48.81,3.24,74.85,0
14/03/2019 6:57,32.52218935,28.12543554,84,55.56,3.22,73.38,0
14/03/2019 6:58,31.97485207,28.87804878,89,50.36,3.37,75.35,0
14/03/2019 6:59,30.96893491,29.54703833,102,47.71,3.77,77.09,0
14/03/2019 7:00,30.16272189,28.13240418,82,46.63,2.94,73.4,0
14/03/2019 7:01,31.3387574,28.57142857,90,47.64,3.35,74.55,0
14/03/2019 7:02,31.52366864,29.42160279,101,47,3.56,76.76,0
14/03/2019 7:03,30.68786982,29.68641115,101,47.55,3.54,77.45,0
14/03/2019 7:04,30.32544379,29.19860627,110,55.88,3.73,76.18,0
14/03/2019 7:05,31.86390533,29.47038328,103,54.15,3.66,76.89,0
14/03/2019 7:06,31.10946746,28.16027875,102,51.58,3.87,73.47,0
14/03/2019 7:07,30.90236686,29.97212544,91,47.21,3.58,78.2,0
14/03/2019 7:08,30.20710059,30.51567944,102,46.95,3.81,79.62,0
14/03/2019 7:09,29.83727811,28.42508711,89,55.11,2.88,74.16,0
14/03/2019 7:10,30.09615385,30.52264808,92,45.55,3.4,79.64,0
14/03/2019 7:11,30.47337278,28.21602787,93,53.47,3.14,73.62,0
14/03/2019 7:12,29.73372781,28.94773519,94,46.35,3.33,75.53,0
14/03/2019 7:13,31.77514793,29.80487805,104,47.77,3.42,77.76,0
14/03/2019 7:14,29.62278107,30.54355401,85,50.15,3.18,79.69,0
14/03/2019 7:15,29.61538462,28.48780488,92,49.77,3.73,74.33,0
14/03/2019 7:16,31.87869822,28.54355401,101,54.66,3.86,74.47,0
14/03/2019 7:17,32.41863905,28.19512195,99,55.96,3.62,73.56,0
14/03/2019 7:18,30.64349112,28.90592334,104,46.43,3.89,75.42,0
14/03/2019 7:19,32.37426036,29.79790941,92,53.36,3.35,77.75,0
14/03/2019 7:20,31.2943787,28.98954704,98,46.61,3.36,75.64,0
14/03/2019 7:21,29.88905325,29.41463415,88,49.13,3.16,76.75,0
14/03/2019 7:22,31.45710059,30.24390244,97,50.25,3.8,78.91,0
14/03/2019 7:23,32.13017751,29.22648084,100,49.53,3.24,76.25,0
14/03/2019 7:24,29.96301775,27.88850174,102,51.51,4.06,72.76,0
14/03/2019 7:25,32.13017751,29.65156794,89,47.59,3.25,77.36,0
14/03/2019 7:26,31.63461538,28.49477352,105,54.26,3.68,74.35,0
14/03/2019 7:27,29.8816568,28.76655052,86,52.44,2.91,75.05,0
14/03/2019 7:28,29.9260355,28.55749129,101,50.51,3.65,74.51,0
14/03/2019 7:29,32.07100592,30.3554007,85,53.63,3.24,79.2,0
14/03/2019 7:30,30.90976331,28.10452962,85,52.78,3.04,73.33,0
14/03/2019 7:31,29.65976331,30.43902439,98,51.73,3.81,79.42,0
14/03/2019 7:32,32.52218935,29.08013937,87,50.5,2.99,75.87,0
14/03/2019 7:33,31.44230769,28.09059233,95,48.38,2.98,73.29,0
14/03/2019 7:34,29.74852071,28.71777003,97,47.95,3.15,74.93,0
14/03/2019 7:35,30.76183432,29.00348432,84,45.21,2.92,75.67,0
14/03/2019 7:36,31.92307692,29.28919861,96,53.56,3.32,76.42,0
14/03/2019 7:37,29.74852071,30.32055749,97,53.58,3.62,79.11,0
14/03/2019 7:38,32.27071006,30.64808362,97,45.71,3.23,79.96,0
14/03/2019 7:39,31.93786982,29.86062718,109,53.86,3.79,77.91,0
14/03/2019 7:40,30.38461538,30.32752613,83,48.38,3.36,79.13,0
14/03/2019 7:41,29.80769231,30.24390244,81,53.91,2.79,78.91,0
14/03/2019 7:42,30.51035503,30.22996516,90,50.16,3.26,78.87,0
14/03/2019 7:43,30.22928994,29.26829268,106,48.76,3.83,76.36,0
14/03/2019 7:44,30.13313609,28.87108014,100,55.76,3.94,75.33,0
14/03/2019 7:45,30.65828402,28.66898955,94,51.27,3.44,74.8,0
14/03/2019 7:46,30.74704142,30.57142857,90,53.73,2.93,79.76,0
14/03/2019 7:47,32.38905325,28.7804878,88,55.88,3.17,75.09,0
14/03/2019 7:48,31.1760355,28.17421603,106,47.34,3.47,73.51,0
14/03/2019 7:49,30.76183432,28.25087108,92,55.17,3.36,73.71,0
14/03/2019 7:50,31.51627219,29.02439024,95,52.97,3.55,75.73,0
14/03/2019 7:51,30.28106509,28.49477352,99,53.49,3.4,74.35,0
14/03/2019 7:52,29.97781065,29.44947735,98,52.9,3.2,76.84,0
14/03/2019 7:53,31.60502959,28.18118467,98,51.93,3.42,73.53,0
14/03/2019 7:54,29.75591716,30.3902439,89,55.18,3.11,79.29,0
14/03/2019 7:55,32.38905325,29.46341463,85,53.58,2.89,76.87,0
14/03/2019 7:56,31.13905325,29.96515679,94,51.1,3.8,78.18,0
14/03/2019 7:57,30.51035503,29.58188153,91,54.92,3.35,77.18,0
14/03/2019 7:58,30,29.11498258,102,50.66,3.81,75.96,0
14/03/2019 7:59,32.03402367,29.94425087,89,49.15,3.4,78.13,0
14/03/2019 8:00,30.81360947,30.04181185,104,47.69,4.13,78.38,0
14/03/2019 8:01,30.57692308,30.45993031,88,50.73,3.2,79.47,0
14/03/2019 8:02,30.52514793,30.00696864,84,47.6,3.23,78.29,0
14/03/2019 8:03,32.16715976,29.96515679,92,54.6,2.86,78.18,0
14/03/2019 8:04,30.1035503,29.95818815,103,53.65,4.15,78.16,0
14/03/2019 8:05,31.76035503,28.03484321,101,52.33,3.48,73.15,0
14/03/2019 8:06,30.56952663,30.27874564,96,46.86,3.88,79,0
14/03/2019 8:07,29.97781065,28.40418118,101,46.63,3.68,74.11,0
14/03/2019 8:08,29.77071006,28.36236934,89,49.87,3.01,74,0
14/03/2019 8:09,32.50739645,28.78745645,100,48.96,3.43,75.11,0
14/03/2019 8:10,31.83431953,28.88501742,84,48.9,3.32,75.36,0
14/03/2019 8:11,31.40532544,28.33449477,91,52.93,3.12,73.93,0
14/03/2019 8:12,32.40384615,29.71428571,82,55.75,2.77,77.53,0
14/03/2019 8:13,30.99112426,30.53658537,92,50.91,3.5,79.67,0
14/03/2019 8:14,32.3816568,28.75958188,89,47.49,3.34,75.04,0
14/03/2019 8:15,31.1612426,27.88850174,106,52.9,3.6,72.76,0
14/03/2019 8:16,30.96153846,28.10452962,91,47.34,3.21,73.33,0
14/03/2019 8:17,31.50887574,27.92334495,108,55.51,3.62,72.85,0
14/03/2019 8:18,31.07988166,29.47038328,87,47.61,2.87,76.89,0
14/03/2019 8:19,29.85207101,30.3554007,96,50.87,2.98,79.2,0
14/03/2019 8:20,32.3816568,30.48780488,92,46.62,3.65,79.55,0
14/03/2019 8:21,30.0739645,28.62020906,86,45.5,3.07,74.67,0
14/03/2019 8:22,31.93786982,29.26132404,104,54.45,4.02,76.35,0
14/03/2019 8:23,32.28550296,28.87108014,105,51.95,3.99,75.33,0
14/03/2019 8:24,30.72485207,28.73867596,98,47.5,3.55,74.98,0
14/03/2019 8:25,29.90384615,29.81184669,93,53.36,3.2,77.78,0
14/03/2019 8:26,30.95414201,28.82926829,101,50.3,3.17,75.22,0
14/03/2019 8:27,31.80473373,28.96864111,105,47.75,3.75,75.58,0
14/03/2019 8:28,32.01923077,28.8989547,94,52.82,3.27,75.4,0
14/03/2019 8:29,32.44822485,28.67595819,98,46.79,3.82,74.82,0
14/03/2019 8:30,31.13905325,28.59930314,91,51.82,3.26,74.62,0
14/03/2019 8:31,30.34023669,28.89198606,88,45.4,3.27,75.38,0
14/03/2019 8:32,29.58579882,29.58885017,94,50.39,3.73,77.2,0
14/03/2019 8:33,30.62869822,29.79790941,103,49.85,3.69,77.75,0
14/03/2019 8:34,31.30177515,28.7804878,108,53.31,3.36,75.09,0
14/03/2019 8:35,32.29289941,28.41114983,99,50.13,3.86,74.13,0
14/03/2019 8:36,29.74112426,29.83972125,103,51.51,3.77,77.85,0
14/03/2019 8:37,29.96301775,28.37630662,105,51.73,3.4,74.04,0
14/03/2019 8:38,30.43639053,29.18466899,88,49.18,3.44,76.15,0
14/03/2019 8:39,30.79142012,30.1184669,101,55.84,3.81,78.58,0
14/03/2019 8:40,31.59023669,28.30662021,105,49.12,3.79,73.85,0
14/03/2019 8:41,31.40532544,28.29268293,99,53.55,3.34,73.82,0
14/03/2019 8:42,31.79733728,30.02090592,92,45.1,3.71,78.33,0
14/03/2019 8:43,32.30029586,28.97560976,90,48.29,3.25,75.6,0
14/03/2019 8:44,31.12426036,29.60278746,96,45.43,3.88,77.24,0
14/03/2019 8:45,29.60059172,28.59233449,97,47.54,3.12,74.6,0
14/03/2019 8:46,30.84319527,28.66898955,83,55.98,3.26,74.8,0
14/03/2019 8:47,29.86686391,28.41811847,98,50.45,3.48,74.15,0
14/03/2019 8:48,29.72633136,28.20209059,99,52.96,3.73,73.58,0
14/03/2019 8:49,32.35207101,29.07317073,88,47.3,3.07,75.85,0
14/03/2019 8:50,32.05621302,30.09756098,92,48.68,3.05,78.53,0
14/03/2019 8:51,31.39053254,30.41811847,98,45.6,3.98,79.36,0
14/03/2019 8:52,32.06360947,28.59233449,99,46.95,3.36,74.6,0
14/03/2019 8:53,30.47337278,27.91637631,94,49.67,3.35,72.84,0
14/03/2019 8:54,31.44970414,30.2369338,110,53.28,4,78.89,0
14/03/2019 8:55,30.79881657,29.42160279,88,49.43,3.11,76.76,0
14/03/2019 8:56,32.5147929,30.2369338,109,50.16,3.71,78.89,0
14/03/2019 8:57,32.21893491,29.29616725,100,47.4,3.75,76.44,0
14/03/2019 8:58,31.59023669,28.16724739,96,51.76,3.4,73.49,0
14/03/2019 8:59,32.04881657,30.11149826,102,48.41,4.02,78.56,0
14/03/2019 9:00,32.15236686,30.62020906,93,47.1,3.63,79.89,0
14/03/2019 9:01,31.40532544,30.48780488,82,51.54,3.13,79.55,0
14/03/2019 9:02,29.85946746,29.8466899,97,52.21,3.47,77.87,0
14/03/2019 9:03,31.84171598,28.81533101,104,52.77,3.93,75.18,0
14/03/2019 9:04,30.59911243,29.33101045,105,48.65,3.83,76.53,0
14/03/2019 9:05,31.78254438,29.51916376,96,55.35,3.57,77.02,0
14/03/2019 9:06,31.56065089,30.37630662,91,47.42,3.1,79.25,0
14/03/2019 9:07,31.2943787,30.33449477,93,46.46,2.91,79.15,0
14/03/2019 9:08,32.13017751,29.16376307,88,48.26,3.09,76.09,0
14/03/2019 9:09,30.85059172,30.36933798,95,50.42,3.08,79.24,0
14/03/2019 9:10,30.33284024,28.96864111,102,52.84,3.49,75.58,0
14/03/2019 9:11,31.12426036,29.26829268,87,54.94,2.91,76.36,0
14/03/2019 9:12,30.60650888,30.18815331,104,54.68,3.87,78.76,0
14/03/2019 9:13,30.79142012,29.33101045,97,48.6,3.98,76.53,0
14/03/2019 9:14,32.43343195,28.20905923,87,45.22,3.29,73.6,0
14/03/2019 9:15,29.68934911,29.47038328,86,55.52,3.41,76.89,0
14/03/2019 9:16,31.84911243,30.01393728,98,46.62,3.6,78.31,0
14/03/2019 9:17,31.76035503,28.52961672,106,46.94,3.6,74.44,0
14/03/2019 9:18,31.3535503,30.36236934,99,45.12,3.79,79.22,0
14/03/2019 9:19,29.87426036,30.43205575,96,54.51,3.27,79.4,0
14/03/2019 9:20,30.22928994,28.39721254,91,45.42,3.34,74.09,0
14/03/2019 9:21,31.30177515,29.4912892,96,49.46,3.57,76.95,0
14/03/2019 9:22,31.08727811,30.271777,103,49.35,3.75,78.98,0
14/03/2019 9:23,31.39053254,29.94425087,88,52.68,3.05,78.13,0
14/03/2019 9:24,31.02810651,30.56445993,87,49.59,3.38,79.75,0
14/03/2019 9:25,32.24112426,29.26829268,90,54.75,3.46,76.36,0
14/03/2019 9:26,31.1316568,30.16724739,106,47.51,3.88,78.71,0
14/03/2019 9:27,31.59763314,28.13240418,107,54.11,3.73,73.4,0
14/03/2019 9:28,31.98964497,28.1184669,95,55.8,3.49,73.36,0
14/03/2019 9:29,29.79289941,30.06968641,82,45.31,2.86,78.45,0
14/03/2019 9:30,31.90088757,29.93031359,92,52.83,3.05,78.09,0
14/03/2019 9:31,29.60059172,27.94425087,93,54.25,3.38,72.91,0
14/03/2019 9:32,29.66715976,28.28571429,95,45.3,3.51,73.8,0
14/03/2019 9:33,30.60650888,30.43902439,102,50.26,3.63,79.42,0
14/03/2019 9:34,31.38313609,27.98606272,105,49.94,3.38,73.02,0
14/03/2019 9:35,30.42159763,29.26829268,99,47.84,3.58,76.36,0
14/03/2019 9:36,29.96301775,28.61324042,93,54.9,3.18,74.65,0
14/03/2019 9:37,32.23372781,30.37630662,82,46.5,2.88,79.25,0
14/03/2019 9:38,30.18491124,29.32404181,105,55.46,3.73,76.51,0
14/03/2019 9:39,32.29289941,30.11149826,90,45.95,3.38,78.56,0
14/03/2019 9:40,32.4852071,30.03484321,83,53.92,3.06,78.36,0
14/03/2019 9:41,30.63609467,29.57491289,98,46.93,3.78,77.16,0
14/03/2019 9:42,31.73816568,29.16376307,98,49.45,3.62,76.09,0
14/03/2019 9:43,31.78994083,28.71080139,82,55.96,3.05,74.91,0
14/03/2019 9:44,31.2795858,30.42508711,98,48.91,3.58,79.38,0
14/03/2019 9:45,30.34763314,28.52264808,98,49.37,3.52,74.42,0
14/03/2019 9:46,29.62278107,30.52961672,88,52.93,2.91,79.65,0
14/03/2019 9:47,29.61538462,30.11149826,94,49.58,3.17,78.56,0
14/03/2019 9:48,30.09615385,29.95818815,89,46.41,2.96,78.16,0
14/03/2019 9:49,30.85798817,27.94425087,84,50.11,2.99,72.91,0
14/03/2019 9:50,30.47337278,30.48780488,92,55.42,3.54,79.55,0
14/03/2019 9:51,29.77071006,30.45993031,96,51.11,3.62,79.47,0
14/03/2019 9:52,30.22189349,27.94425087,100,48.74,3.42,72.91,0
14/03/2019 9:53,30.40680473,28.09756098,105,48.41,3.49,73.31,0
14/03/2019 9:54,30.70266272,29.10801394,91,46.28,3.19,75.95,0
